st93fem_01	fem	Leiden*_1993_Lei006_stock	N/A
st93fem_02	fem	Leiden*_1993_Lei007_stock	N/A
st93fem_04	fem	Leiden*_1993_Lei009_stock	N/A
st93fem_06	fem	Leiden*_1993_Lei04_stock	N/A
st93fem_07	fem	Leiden*_1993_Lei011_stock	N/A
st93fem_08	fem	Leiden*_1993_Lei01_stock	N/A
st93fem_09	fem	Leiden*_1993_Lei008_stock	N/A
st93fem_11	fem	Leiden*_1993_Lei01_stock	N/A
st93fem_12	fem	Leiden*_1993_Lei010_stock	N/A
st93fem_13	fem	Leiden*_1993_Lei012_stock	N/A
st93fem_14	fem	Leiden*_1993_Lei006_stock	N/A
st93fem_15	fem	Leiden*_1993_Lei008_stock	N/A
st93fem_16	fem	Leiden*_1993_Lei010_stock	N/A
st93fem_17	fem	Leiden*_1993_Lei012_stock	N/A
st93fem_18	fem	Leiden*_1993_Lei008_stock	N/A
st93fem_19	fem	Leiden*_1993_Lei010_stock	N/A
st93fem_20	fem	Leiden*_1993_Lei013_stock	N/A
st93fem_21	fem	Leiden*_1993_Lei014_stock	N/A
st93fem_22	fem	Leiden*_1993_Lei008_stock	N/A
st93fem_23	fem	Leiden*_1993_Lei015_stock	N/A
st93fem_24	fem	Leiden*_1993_Lei02_stock	N/A
st93fem_25	fem	Leiden*_1993_Lei015_stock	N/A
st93fem_26	fem	Leiden*_1993_Lei015_stock	N/A
st93fem_27	fem	Leiden*_1993_Lei010_stock	N/A
st93fem_28	fem	Leiden*_1993_Lei04_stock	N/A
st93fem_29	fem	Leiden*_1993_Lei015_stock	N/A
st93fem_30	fem	Leiden*_1993_Lei008_stock	N/A
st93fem_31	fem	Leiden*_1993_Lei018_stock	N/A
st93fem_32	fem	Leiden*_1993_Lei01_stock	N/A
st93fem_33	fem	Leiden*_1993_Lei010_stock	N/A
st93fem_34	fem	Leiden*_1993_Lei02_stock	N/A
st93fem_35	fem	Leiden*_1993_Lei015_stock	N/A
st93fem_36	fem	Leiden*_1993_Lei02_stock	N/A
st93fem_37	fem	Leiden*_1993_Lei008_stock	N/A
